n,m,parseTime,SATime,SearchTime,Description
2,1,14,1,1,sameChar
3,1,4,1,1,sameChar
3,2,5,0,1,sameChar
4,1,4,1,1,sameChar
4,2,4,1,7,sameChar
4,3,7,5,293,sameChar
5,1,239,3,7,sameChar
5,2,188,2,4,sameChar
5,3,171,6,3,sameChar
5,4,176,2,6,sameChar
6,1,171,3,3,sameChar
6,2,173,5,2,sameChar
6,3,139,4,1,sameChar
6,4,101,1,2,sameChar
6,5,104,1,1,sameChar
7,1,107,1,2,sameChar
7,2,102,1,1,sameChar
7,3,103,1,2,sameChar
7,4,103,5,1,sameChar
7,5,103,1,1,sameChar
7,6,118,1,5,sameChar
8,1,110,1,1,sameChar
8,2,117,1,1,sameChar
8,3,108,1,1,sameChar
8,4,117,2,2,sameChar
8,5,129,1,1,sameChar
8,6,118,1,2,sameChar
8,7,128,3,2,sameChar
9,1,112,4,1,sameChar
9,2,133,2,1,sameChar
9,3,150,1,2,sameChar
9,4,123,2,1,sameChar
9,5,146,2,2,sameChar
9,6,161,1,2,sameChar
9,7,139,1,1,sameChar
9,8,134,1,2,sameChar
10,1,121,2,1,sameChar
10,2,113,10,1,sameChar
10,3,115,2,1,sameChar
10,4,100,1,2,sameChar
10,5,107,2,1,sameChar
10,6,106,2,1,sameChar
10,7,103,2,2,sameChar
10,8,104,2,2,sameChar
10,9,100,2,2,sameChar
11,1,104,2,5,sameChar
11,2,112,2,2,sameChar
11,3,117,2,2,sameChar
11,4,112,2,2,sameChar
11,5,108,2,1,sameChar
11,6,130,2,1,sameChar
11,7,104,2,2,sameChar
11,8,112,2,1,sameChar
11,9,105,2,2,sameChar
11,10,106,5,3,sameChar
12,1,103,2,1,sameChar
12,2,105,2,1,sameChar
12,3,104,2,1,sameChar
12,4,102,3,2,sameChar
12,5,117,3,1,sameChar
12,6,106,2,2,sameChar
12,7,117,2,1,sameChar
12,8,122,6,1,sameChar
12,9,104,2,2,sameChar
12,10,137,3,2,sameChar
12,11,111,2,2,sameChar
13,1,130,3,1,sameChar
13,2,114,3,1,sameChar
13,3,122,3,1,sameChar
13,4,156,3,5,sameChar
13,5,141,2,5,sameChar
13,6,133,3,2,sameChar
13,7,166,3,1,sameChar
13,8,126,3,3,sameChar
13,9,163,3,2,sameChar
13,10,138,3,3,sameChar
13,11,113,3,2,sameChar
13,12,125,2,1,sameChar
